Joueur,Nation,Pos,Equipe,Comp,age,90,Buts,TC%,B/Tir,npxG,Cmp%,PD,PC
Neeskens Kebano,cd COD,AT,Fulham,eng Premier League,30-228,7.2,0.0,22.2,0.0,0.08,75.1,0.42,1.25
Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,18-271,2.0,0.0,0.0,0.0,0.0,79.7,0.0,1.0
Thilo Kehrer,de GER,DF,West Ham,eng Premier League,26-033,9.0,0.0,0.0,0.0,0.03,88.4,0.0,0.22
Check Keita,fr FRA,DF,Reims,fr Ligue 1,19-205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannik Keitel,de GER,MT,Freiburg,de Bundesliga,22-251,2.8,0.0,0.0,0.0,0.0,79.5,0.36,0.71
Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,24-018,5.0,0.0,0.0,0.0,0.0,77.8,0.4,0.4
Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,27-269,10.4,0.0,20.0,0.0,0.04,77.0,0.0,0.19
Kenedy,br BRA,MT,Valladolid,es La Liga,26-258,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Jonjoe Kenny,eng ENG,DF,Hertha BSC,de Bundesliga,25-223,11.0,0.0,16.7,0.0,0.02,75.4,0.0,0.82
Franck Kessié,ci CIV,MT,Barcelona,es La Liga,25-309,2.4,0.0,0.0,0.0,0.21,86.9,0.0,0.83
Saîf-Eddine Khaoui,tn TUN,MTAT,Clermont Foot,fr Ligue 1,27-180,5.7,0.35,45.5,0.18,0.28,76.8,0.35,1.58
Wahbi Khazri,tn TUN,ATMT,Montpellier,fr Ligue 1,31-258,6.1,0.33,57.1,0.14,0.23,74.8,0.16,0.98
Rani Khedira,de GER,MT,Union Berlin,de Bundesliga,28-270,10.7,0.0,0.0,0.0,0.04,70.7,0.0,0.28
Kike,es ESP,AT,Osasuna,es La Liga,32-333,4.0,0.5,27.3,0.09,0.17,69.0,0.0,1.5
Luca Kilian,de GER,DF,Köln,de Bundesliga,23-053,9.2,0.11,25.0,0.25,0.13,87.5,0.0,0.11
Max Kilman,eng ENG,DF,Wolves,eng Premier League,25-154,12.0,0.0,0.0,0.0,0.05,86.8,0.0,0.0
Joshua Kimmich,de GER,MT,Bayern Munich,de Bundesliga,27-258,10.2,0.2,43.8,0.13,0.07,84.4,0.2,2.65
Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,27-072,6.0,0.0,0.0,0.0,0.05,93.9,0.0,0.17
Jakub Kiwior,pl POL,DF,Spezia,it Serie A,22-251,10.7,0.0,0.0,0.0,0.03,86.7,0.0,0.37
Simon Kjær,dk DEN,DF,Milan,it Serie A,33-212,3.9,0.0,0.0,0.0,0.0,88.4,0.0,0.0
Mateusz Klich,pl POL,MT,Leeds United,eng Premier League,32-133,2.2,0.0,25.0,0.0,0.09,73.0,0.0,2.27
Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,26-143,1.0,0.0,25.0,0.0,0.3,80.7,0.0,0.0
Justin Kluivert,nl NED,ATMT,Valencia,es La Liga,23-172,3.9,0.26,40.0,0.1,0.33,76.0,0.0,2.56
Ansgar Knauff,de GER,DF,Eint Frankfurt,de Bundesliga,20-287,5.1,0.0,40.0,0.0,0.06,63.7,0.0,0.39
Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,30-155,10.0,0.1,33.3,0.33,0.01,82.9,0.0,0.2
Gregor Kobel,ch SUI,GB,Dortmund,de Bundesliga,24-322,7.0,0.0,0.0,0.0,0.0,82.4,0.0,0.0
Robin Koch,de GER,DF,Leeds United,eng Premier League,26-099,10.5,0.0,33.3,0.0,0.01,78.3,0.0,0.0
Dominik Kohr,de GER,MT,Mainz 05,de Bundesliga,28-266,10.1,0.2,18.2,0.18,0.09,75.7,0.0,0.89
Koke,es ESP,MT,Atlético Madrid,es La Liga,30-289,8.0,0.0,0.0,0.0,0.01,82.9,0.25,1.38
Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,29-126,4.3,0.0,0.0,0.0,0.0,82.9,0.23,0.0
Luca Koleosho,ca CAN,DFMT,Espanyol,es La Liga,18-039,0.3,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Randal Kolo Muani,fr FRA,AT,Eint Frankfurt,de Bundesliga,23-323,8.4,0.36,45.0,0.15,0.36,60.4,0.71,1.67
Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,23-152,0.2,0.0,0.0,0.0,0.0,81.8,0.0,0.0
Geoffrey Kondogbia,cf CTA,MT,Atlético Madrid,es La Liga,29-251,6.5,0.0,0.0,0.0,0.08,91.9,0.15,0.46
Ibrahima Koné,ml MLI,AT,Lorient,fr Ligue 1,23-130,3.2,0.63,50.0,0.5,0.16,62.0,0.0,0.63
Kouadio Koné,fr FRA,MT,M'Gladbach,de Bundesliga,21-160,10.6,0.0,60.0,0.0,0.02,87.4,0.0,0.57
Youssouf Koné,ml MLI,DF,Ajaccio,fr Ligue 1,27-111,2.1,0.0,100.0,0.0,0.0,75.3,0.0,0.0
Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,25-001,11.0,0.0,0.0,0.0,0.03,82.8,0.0,0.36
Teun Koopmeiners,nl NED,MT,Atalanta,it Serie A,24-238,11.0,0.36,41.2,0.12,0.1,74.3,0.09,1.55
Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,21-293,4.4,0.0,0.0,0.0,0.0,84.0,0.23,0.45
Filip Kostić,rs SRB,DFAT,Eint Frankfurt,de Bundesliga,29-357,0.8,0.0,0.0,0.0,0.0,61.5,0.0,1.25
Filip Kostić,rs SRB,ATDF,Juventus,it Serie A,29-357,8.3,0.12,27.3,0.09,0.07,69.9,0.36,2.41
Christian Kouamé,ci CIV,ATMT,Fiorentina,it Serie A,24-322,8.4,0.24,35.7,0.14,0.13,71.8,0.24,2.5
Rominigue Kouamé,ml MLI,MT,Troyes,fr Ligue 1,25-311,10.8,0.0,16.7,0.0,0.06,88.0,0.09,1.2
Tomáš Koubek,cz CZE,GB,Augsburg,de Bundesliga,30-059,3.0,0.0,0.0,0.0,0.0,62.1,0.0,0.33
Kalidou Koulibaly,sn SEN,DF,Chelsea,eng Premier League,31-126,7.2,0.14,42.9,0.14,0.07,87.3,0.0,0.28
Jules Koundé,fr FRA,DF,Barcelona,es La Liga,23-346,5.5,0.0,0.0,0.0,0.04,91.8,0.36,0.91
Cheikhou Kouyaté,sn SEN,MTDF,Nott'ham Forest,eng Premier League,32-307,5.4,0.19,100.0,0.2,0.06,80.6,0.0,0.74
Mateo Kovačić,hr CRO,MT,Chelsea,eng Premier League,28-171,4.9,0.0,0.0,0.0,0.04,85.7,0.2,1.63
Viktor Kovalenko,ua UKR,MT,Spezia,it Serie A,26-252,3.6,0.0,0.0,0.0,0.06,79.6,0.0,1.11
Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,28-083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Král,cz CZE,MT,Schalke 04,de Bundesliga,24-158,6.0,0.0,0.0,0.0,0.02,74.1,0.0,0.17
Andrej Kramarić,hr CRO,ATMT,Hoffenheim,de Bundesliga,31-127,8.4,0.36,31.6,0.16,0.44,80.0,0.24,1.43
Christoph Kramer,de GER,MTDF,M'Gladbach,de Bundesliga,31-247,9.8,0.0,0.0,0.0,0.02,82.4,0.0,0.51
Tom Krauß,de GER,MT,Schalke 04,de Bundesliga,21-124,10.0,0.1,36.4,0.09,0.06,74.7,0.0,0.0
Julian Kristoffersen,no NOR,AT,Salernitana,it Serie A,25-167,0.2,0.0,0.0,0.0,0.0,50.0,0.0,0.0
Toni Kroos,de GER,MT,Real Madrid,es La Liga,32-293,7.5,0.0,30.0,0.0,0.04,90.2,0.13,1.47
Rade Krunić,ba BIH,MTAT,Milan,it Serie A,29-017,3.3,0.0,20.0,0.0,0.09,82.5,0.3,1.82
Max Kruse,de GER,MTAT,Wolfsburg,de Bundesliga,34-219,3.0,0.0,22.2,0.0,0.17,80.3,0.0,1.0
Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,30-055,1.0,1.0,100.0,1.0,0.1,69.4,0.0,0.0
Takefusa Kubo,jp JPN,ATMT,Real Sociedad,es La Liga,21-142,8.5,0.24,52.9,0.12,0.18,73.0,0.24,1.06
Dejan Kulusevski,se SWE,MTAT,Tottenham,eng Premier League,22-182,5.5,0.18,10.0,0.1,0.13,84.5,0.55,2.36
Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,17-212,0.2,0.0,0.0,0.0,0.0,87.5,0.0,0.0
Marash Kumbulla,al ALB,DF,Roma,it Serie A,22-258,0.5,0.0,0.0,0.0,0.0,95.2,0.0,0.0
Layvin Kurzawa,fr FRA,DF,Fulham,eng Premier League,30-050,0.5,0.0,0.0,0.0,0.0,71.4,0.0,0.0
Khvicha Kvaratskhelia,ge GEO,ATMT,Napoli,it Serie A,21-254,8.9,0.56,41.4,0.17,0.29,75.6,0.34,2.47
Grejohn Kyei,fr FRA,AT,Clermont Foot,fr Ligue 1,27-073,4.9,0.41,50.0,0.25,0.24,76.2,0.2,0.41
Daniel Kyereh,gh GHA,MT,Freiburg,de Bundesliga,26-230,4.5,0.44,55.6,0.22,0.42,80.0,0.0,0.22
Giorgos Kyriakopoulos,gr GRE,AT,Sassuolo,it Serie A,26-261,5.4,0.19,40.0,0.1,0.15,71.3,0.19,1.67
César de la Hoz,es ESP,MT,Almería,es La Liga,30-208,4.5,0.0,0.0,0.0,0.0,85.8,0.0,0.44
Luca de la Torre,us USA,MT,Celta Vigo,es La Liga,24-154,0.5,0.0,0.0,0.0,0.0,88.0,0.0,0.0
Gaëtan Laborde,fr FRA,AT,Rennes,fr Ligue 1,28-174,2.8,0.71,45.5,0.18,0.54,68.7,0.0,0.71
Gaëtan Laborde,fr FRA,ATMT,Nice,fr Ligue 1,28-174,5.7,0.18,45.5,0.09,0.16,70.1,0.0,0.88
Alexandre Lacazette,fr FRA,ATMT,Lyon,fr Ligue 1,31-149,11.5,0.61,48.8,0.15,0.47,71.4,0.26,1.83
Qazim Laçi,al ALB,MT,Ajaccio,fr Ligue 1,26-278,2.3,0.0,0.0,0.0,0.04,81.1,0.0,1.3
Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,22-201,8.9,0.11,33.3,0.33,0.03,85.4,0.0,0.11
Alban Lafont,fr FRA,GB,Nantes,fr Ligue 1,23-274,12.0,0.0,0.0,0.0,0.0,69.1,0.0,0.08
Konrad Laimer,at AUT,MT,RB Leipzig,de Bundesliga,25-150,3.7,0.0,50.0,0.0,0.0,77.9,0.0,1.08
Stefan Lainer,at AUT,DF,M'Gladbach,de Bundesliga,30-058,0.3,0.0,0.0,0.0,0.0,69.6,0.0,3.33
Adam Lallana,eng ENG,MTAT,Brighton,eng Premier League,34-167,4.0,0.0,75.0,0.0,0.1,83.4,0.0,2.0
Vassilis Lambropoulos,gr GRE,DF,Bochum,de Bundesliga,32-207,2.3,0.0,0.0,0.0,0.04,78.2,0.0,0.43
Érik Lamela,ar ARG,AT,Sevilla,es La Liga,30-234,7.6,0.39,47.4,0.16,0.32,79.1,0.0,1.71
Mohamed Lamine Bayo,gn GUI,AT,Lille,fr Ligue 1,24-142,2.3,0.0,16.7,0.0,0.52,60.5,0.0,1.74
Sam Lammers,nl NED,AT,Empoli,it Serie A,25-177,8.0,0.13,30.4,0.04,0.21,66.1,0.13,0.88
Tariq Lamptey,gh GHA,DF,Brighton,eng Premier League,22-024,1.8,0.0,0.0,0.0,0.0,79.2,0.0,0.56
Manuel Lanzini,ar ARG,MT,West Ham,eng Premier League,29-251,1.1,0.0,0.0,0.0,0.09,81.3,0.0,0.0
Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,28-150,1.2,0.0,0.0,0.0,0.08,90.5,0.0,0.0
Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,28-354,12.0,0.0,20.0,0.0,0.02,86.7,0.0,0.08
Juan Larios,es ESP,DF,Southampton,eng Premier League,18-285,1.3,0.0,0.0,0.0,0.0,80.9,0.0,0.0
Yasser Larouci,dz ALG,DF,Troyes,fr Ligue 1,21-296,7.1,0.0,66.7,0.0,0.01,77.7,0.0,0.85
Jordan Larsson,se SWE,ATMT,Schalke 04,de Bundesliga,25-126,3.1,0.0,0.0,0.0,0.23,80.3,0.0,0.97
Kevin Lasagna,it ITA,AT,Hellas Verona,it Serie A,30-075,5.8,0.17,15.0,0.05,0.45,44.1,0.17,0.17
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,28-347,1.1,0.0,0.0,0.0,0.0,86.4,0.0,0.0
Latasa,es ESP,AT,Getafe,es La Liga,21-215,0.3,0.0,50.0,0.0,0.67,50.0,0.0,0.0
Toni Lato,es ESP,DFMT,Valencia,es La Liga,24-337,2.9,0.34,20.0,0.2,0.1,85.7,0.0,3.1
Danny Latza,de GER,MT,Schalke 04,de Bundesliga,32-321,1.5,0.0,0.0,0.0,0.07,75.0,0.0,0.0
Armand Lauriente,fr FRA,AT,Sassuolo,it Serie A,23-324,4.6,0.22,66.7,0.08,0.17,75.6,0.43,3.7
Armand Lauriente,fr FRA,ATMT,Lorient,fr Ligue 1,23-324,3.0,0.33,38.5,0.08,0.33,77.9,0.0,2.67
Roméo Lavia,be BEL,MT,Southampton,eng Premier League,18-291,4.7,0.21,50.0,0.25,0.02,92.0,0.0,0.43
Lázaro,br BRA,MTAT,Almería,es La Liga,20-226,1.8,0.0,0.0,0.0,0.06,87.1,0.0,2.22
Valentino Lazaro,at AUT,DF,Torino,it Serie A,26-214,7.3,0.0,33.3,0.0,0.05,78.5,0.0,1.64
Darko Lazović,rs SRB,DFMT,Hellas Verona,it Serie A,32-039,7.6,0.0,20.0,0.0,0.05,63.0,0.13,1.05
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,28-329,9.0,0.0,0.0,0.0,0.01,88.0,0.0,0.22
Théo Le Bris,fr FRA,MTDF,Lorient,fr Ligue 1,20-023,6.5,0.15,25.0,0.25,0.12,78.7,0.0,0.46
Jérémy Le Douaron,fr FRA,ATMT,Brest,fr Ligue 1,24-186,4.7,0.64,35.3,0.18,0.72,78.5,0.0,0.21
Enzo Le Fée,fr FRA,MT,Lorient,fr Ligue 1,22-263,11.9,0.17,53.3,0.13,0.08,82.0,0.08,2.86
Vincent Le Goff,fr FRA,DF,Lorient,fr Ligue 1,33-009,12.0,0.0,57.1,0.0,0.06,83.3,0.0,0.25
Maxime Le Marchand,fr FRA,DF,Strasbourg,fr Ligue 1,33-013,8.5,0.0,0.0,0.0,0.01,80.9,0.0,0.12
Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,25-347,6.3,0.0,0.0,0.0,0.0,93.3,0.0,0.0
Rafael Leão,pt POR,ATMT,Milan,it Serie A,23-136,8.3,0.6,28.9,0.13,0.36,78.0,0.48,1.69
Benjamin Lecomte,fr FRA,GB,Espanyol,es La Liga,31-181,7.0,0.0,0.0,0.0,0.0,61.9,0.0,0.14
Jeremías Ledesma,ar ARG,GB,Cádiz,es La Liga,29-253,11.0,0.0,0.0,0.0,0.0,55.2,0.0,0.27
Pierre Lees-Melou,fr FRA,MTAT,Brest,fr Ligue 1,29-152,8.7,0.23,40.0,0.2,0.06,85.1,0.0,0.46
Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,23-274,9.0,0.0,0.0,0.0,0.04,78.8,0.0,0.33
Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,24-159,6.9,0.0,50.0,0.0,0.03,80.6,0.0,0.29
Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,31-157,7.5,0.4,33.3,0.33,0.11,84.1,0.0,0.27
Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,29-173,8.2,0.0,14.3,0.0,0.02,80.0,0.12,0.49
Thomas Lemar,fr FRA,MT,Atlético Madrid,es La Liga,26-346,3.8,0.0,0.0,0.0,0.0,85.2,0.26,2.37
Mario Lemina,ga GAB,MTDF,Nice,fr Ligue 1,29-053,6.4,0.0,50.0,0.0,0.02,88.6,0.0,0.31
Tim Lemperle,de GER,AT,Köln,de Bundesliga,20-261,0.4,0.0,0.0,0.0,0.0,68.8,0.0,2.5
Clément Lenglet,fr FRA,DF,Tottenham,eng Premier League,27-129,3.7,0.0,0.0,0.0,0.03,86.5,0.27,0.27
Bernd Leno,de GER,GB,Fulham,eng Premier League,30-234,10.0,0.0,0.0,0.0,0.0,72.4,0.0,0.0
Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28-032,5.2,0.0,40.0,0.0,0.04,73.7,0.38,1.73
Sergio León,es ESP,AT,Valladolid,es La Liga,33-291,4.9,1.02,76.9,0.31,0.33,74.2,0.2,0.61
Johann Lepenant,fr FRA,MT,Lyon,fr Ligue 1,20-002,7.6,0.0,0.0,0.0,0.03,91.0,0.0,0.53
Mehdi Léris,fr FRA,MTDF,Sampdoria,it Serie A,24-154,6.0,0.0,44.4,0.0,0.33,71.9,0.17,0.5
Jefferson Lerma,co COL,MTDF,Bournemouth,eng Premier League,27-364,11.0,0.18,27.3,0.18,0.08,84.3,0.0,0.09
Benjamin Leroy,fr FRA,GB,Ajaccio,fr Ligue 1,33-200,10.1,0.0,0.0,0.0,0.0,61.6,0.0,0.0
Léo Leroy,fr FRA,MTAT,Montpellier,fr Ligue 1,22-252,1.7,0.0,0.0,0.0,0.12,68.4,0.0,1.18
Robert Lewandowski,pl POL,AT,Barcelona,es La Liga,34-064,9.5,1.26,58.5,0.29,1.0,77.4,0.42,1.58
Jamie Leweling,de GER,AT,Union Berlin,de Bundesliga,21-240,1.1,0.0,66.7,0.0,0.18,66.7,0.0,0.0
Jamal Lewis,nir NIR,DF,Newcastle Utd,eng Premier League,24-272,0.1,0.0,0.0,0.0,0.0,81.8,0.0,0.0
Rico Lewis,eng ENG,DFMT,Manchester City,eng Premier League,17-337,0.4,0.0,0.0,0.0,0.0,92.3,0.0,0.0
Keane Lewis-Potter,eng ENG,ATMT,Brentford,eng Premier League,21-244,2.4,0.0,33.3,0.0,0.25,68.3,0.42,1.67
Dimitri Liénard,fr FRA,DF,Strasbourg,fr Ligue 1,34-253,6.8,0.0,40.0,0.0,0.03,74.4,0.0,1.47
Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,26-105,11.0,0.0,0.0,0.0,0.02,86.8,0.0,0.27
Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23-073,7.7,0.13,75.0,0.25,0.04,92.1,0.0,0.13
Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,28-099,1.9,0.0,0.0,0.0,0.0,95.1,0.0,0.0
Jesper Lindstrøm,dk DEN,MTAT,Eint Frankfurt,de Bundesliga,22-237,7.0,0.71,44.4,0.28,0.41,64.5,0.0,0.57
Karol Linetty,pl POL,MT,Torino,it Serie A,27-264,8.5,0.0,42.9,0.0,0.11,87.9,0.0,0.94
Jesse Lingard,eng ENG,ATMT,Nott'ham Forest,eng Premier League,29-313,7.4,0.0,28.6,0.0,0.07,82.4,0.0,1.35
Pol Lirola,es ESP,DF,Elche,es La Liga,25-072,3.6,0.0,0.0,0.0,0.0,78.0,0.0,1.67
Mateusz Lis,pl POL,GB,Troyes,fr Ligue 1,25-239,2.0,0.0,0.0,0.0,0.0,64.1,0.0,0.0
Marcin Listkowski,pl POL,MTAT,Lecce,it Serie A,24-256,0.9,0.0,0.0,0.0,0.11,70.8,0.0,0.0
Dejan Ljubicic,at AUT,MT,Köln,de Bundesliga,25-016,6.2,0.48,33.3,0.2,0.16,78.1,0.0,1.45
Javier Llabrés,0.00,AT,Mallorca,es La Liga,0.00,0.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Diego Llorente,es ESP,DF,Leeds United,eng Premier League,29-069,7.0,0.0,0.0,0.0,0.07,85.2,0.0,0.0
Marcos Llorente,es ESP,DFMT,Atlético Madrid,es La Liga,27-267,5.4,0.19,33.3,0.33,0.04,80.8,0.0,1.48
Hugo Lloris,fr FRA,GB,Tottenham,eng Premier League,35-302,12.0,0.0,0.0,0.0,0.0,80.4,0.0,0.0
Giovani Lo Celso,ar ARG,MTAT,Villarreal,es La Liga,26-198,5.5,0.18,25.0,0.08,0.2,85.4,0.0,0.55
Stanislav Lobotka,sk SVK,MT,Napoli,it Serie A,27-333,9.6,0.1,33.3,0.33,0.02,93.6,0.1,0.83
Manuel Locatelli,it ITA,MT,Juventus,it Serie A,24-289,8.2,0.0,25.0,0.0,0.04,85.2,0.0,0.73
Luka Lochoshvili,ge GEO,DF,Cremonese,it Serie A,24-148,7.0,0.0,33.3,0.0,0.03,82.1,0.14,0.14
Banzouzi Locko,fr FRA,DF,Reims,fr Ligue 1,20-171,10.6,0.0,0.0,0.0,0.01,76.7,0.0,0.38
Renan Lodi,br BRA,DF,Nott'ham Forest,eng Premier League,24-199,4.0,0.0,0.0,0.0,0.05,73.5,0.0,0.5
Ruben Loftus-Cheek,eng ENG,MTDF,Chelsea,eng Premier League,26-274,8.7,0.0,25.0,0.0,0.09,84.8,0.0,0.57
Sean Longstaff,eng ENG,MT,Newcastle Utd,eng Premier League,24-359,8.7,0.11,33.3,0.17,0.05,82.2,0.23,1.03
Ademola Lookman,ng NGA,ATMT,Atalanta,it Serie A,25-004,6.4,0.63,50.0,0.33,0.42,75.3,0.16,1.56
Anthony Lopes,pt POR,GB,Lyon,fr Ligue 1,32-023,8.3,0.0,0.0,0.0,0.0,80.6,0.0,0.0
Rony Lopes,pt POR,AT,Troyes,fr Ligue 1,26-300,4.5,0.22,35.7,0.07,0.36,79.9,0.67,2.0
David López,es ESP,DFMT,Girona,es La Liga,33-015,4.7,0.21,50.0,0.25,0.11,91.1,0.0,0.0
Diego López,es ESP,GB,Rayo Vallecano,es La Liga,40-355,1.0,0.0,0.0,0.0,0.0,75.9,0.0,0.0
Maxime Lopez,fr FRA,MT,Sassuolo,it Serie A,24-324,9.0,0.0,50.0,0.0,0.02,88.0,0.0,1.44
Pau López,es ESP,GB,Marseille,fr Ligue 1,27-315,9.0,0.0,0.0,0.0,0.0,78.1,0.0,0.0
Unai López,es ESP,MT,Rayo Vallecano,es La Liga,26-359,4.4,0.23,30.0,0.1,0.11,83.5,0.23,0.91
Dion Lopy,sn SEN,MT,Reims,fr Ligue 1,20-264,6.0,0.0,0.0,0.0,0.03,85.8,0.0,0.67
Anthony Losilla,fr FRA,MT,Bochum,de Bundesliga,36-228,10.8,0.0,20.0,0.0,0.06,72.5,0.0,0.19
Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24-025,8.1,0.0,20.0,0.0,0.04,83.5,0.0,1.11
Matteo Lovato,it ITA,DF,Salernitana,it Serie A,22-252,1.0,0.0,0.0,0.0,0.0,84.4,0.0,0.0
Sandi Lovrić,si SVN,MT,Udinese,it Serie A,24-210,6.3,0.16,13.6,0.05,0.17,81.5,0.16,1.9
Jamal Lowe,jm JAM,AT,Bournemouth,eng Premier League,28-095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Lozano,hn HON,AT,Cádiz,es La Liga,29-182,5.9,0.0,22.2,0.0,0.1,65.7,0.0,0.51
Hirving Lozano,mx MEX,AT,Napoli,it Serie A,27-086,5.3,0.38,33.3,0.08,0.53,73.0,0.19,2.83
Pol Lozano,es ESP,MT,Espanyol,es La Liga,23-018,0.2,0.0,0.0,0.0,0.0,62.5,0.0,0.0
Jean Lucas,br BRA,MT,Monaco,fr Ligue 1,24-124,3.2,0.0,60.0,0.0,0.16,88.0,0.0,1.25
Jhon Lucumí,co COL,DF,Bologna,it Serie A,24-120,7.7,0.0,33.3,0.0,0.03,87.5,0.0,0.13
José Luis Gayà,es ESP,DF,Valencia,es La Liga,27-152,6.6,0.0,44.4,0.0,0.05,76.0,0.15,1.97
José Luis Morales,es ESP,AT,Villarreal,es La Liga,35-093,4.0,0.25,66.7,0.08,0.53,64.4,0.0,0.5
Douglas Luiz,br BRA,MT,Aston Villa,eng Premier League,24-168,7.4,0.14,42.9,0.14,0.03,79.3,0.14,1.35
Romelu Lukaku,be BEL,AT,Inter,it Serie A,29-164,2.5,0.4,42.9,0.14,0.48,71.1,0.4,0.8
Castello Lukeba,fr FRA,DF,Lyon,fr Ligue 1,19-311,11.0,0.09,50.0,0.25,0.04,90.8,0.0,0.0
Dodi Lukebakio,be BEL,AT,Hertha BSC,de Bundesliga,25-030,10.3,0.49,37.5,0.13,0.17,69.0,0.1,0.78
Saša Lukić,rs SRB,MT,Torino,it Serie A,26-072,8.3,0.12,20.0,0.1,0.1,88.3,0.0,1.33
Andriy Lunin,ua UKR,GB,Real Madrid,es La Liga,23-255,4.0,0.0,0.0,0.0,0.0,90.1,0.0,0.0
Andrey Lunyov,ru RUS,GB,Leverkusen,de Bundesliga,30-345,1.0,0.0,0.0,0.0,0.0,79.5,0.0,0.0
Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26-048,9.7,0.0,100.0,0.0,0.02,85.3,0.0,0.31
Lyanco,br BRA,DF,Southampton,eng Premier League,25-265,1.4,0.0,33.3,0.0,0.07,68.9,0.0,0.0
Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29-002,4.0,0.0,0.0,0.0,0.05,69.7,0.0,1.5
Youssouf M'Changama,km COM,MT,Auxerre,fr Ligue 1,32-056,3.2,0.0,0.0,0.0,0.0,84.4,0.0,1.56
Awer Mabil,au AUS,MT,Cádiz,es La Liga,27-039,1.8,0.0,33.3,0.0,0.11,62.0,0.0,0.56
Alexis Mac Allister,ar ARG,MT,Brighton,eng Premier League,23-304,11.0,0.36,29.4,0.06,0.05,87.3,0.0,0.55
Deiver Machado,co COL,DF,Lens,fr Ligue 1,29-052,8.3,0.12,16.7,0.17,0.04,84.0,0.12,0.72
James Maddison,eng ENG,MTAT,Leicester City,eng Premier League,25-335,9.9,0.61,38.7,0.19,0.17,77.0,0.2,2.02
Joakim Mæhle,dk DEN,DF,Atalanta,it Serie A,25-157,5.5,0.0,16.7,0.0,0.22,82.6,0.18,1.45
Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,25-104,11.0,0.09,20.0,0.2,0.04,70.5,0.0,0.82
Soungoutou Magassa,ml MLI,MT,Monaco,fr Ligue 1,19-016,0.8,0.0,0.0,0.0,0.0,82.8,0.0,0.0
Giulio Maggiore,it ITA,MT,Salernitana,it Serie A,24-226,6.3,0.0,0.0,0.0,0.03,77.3,0.0,0.32
Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27-020,0.8,0.0,0.0,0.0,0.0,66.7,0.0,0.0
Hugo Magnetti,fr FRA,MT,Brest,fr Ligue 1,24-147,5.7,0.0,40.0,0.0,0.02,82.3,0.0,0.7
Yohann Magnin,fr FRA,MTDF,Clermont Foot,fr Ligue 1,25-125,7.9,0.0,0.0,0.0,0.06,84.4,0.0,0.89
Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,29-233,2.1,0.0,0.0,0.0,0.1,90.8,0.0,0.48
Riyad Mahrez,dz ALG,ATMT,Manchester City,eng Premier League,31-245,4.1,0.24,33.3,0.08,0.32,86.0,0.0,1.95
Arne Maier,de GER,MT,Augsburg,de Bundesliga,23-289,4.2,0.0,25.0,0.0,0.07,70.3,0.0,1.19
Mike Maignan,fr FRA,GB,Milan,it Serie A,27-113,7.0,0.0,0.0,0.0,0.0,77.8,0.0,0.0
Linton Maina,de GER,ATMT,Köln,de Bundesliga,23-123,5.6,0.18,60.0,0.1,0.23,68.8,0.36,1.79
Ainsley Maitland-Niles,eng ENG,MT,Southampton,eng Premier League,25-056,2.7,0.0,0.0,0.0,0.0,87.2,0.0,0.0
